accession	clade_membership	gene	identical_to
GU980052	A	genome	
AF338106	A	genome	"BD293023, EA500331, AX081133, DI021804, DI064912, AX081123, FJ211584, BD293022, AF201473"
AF345290	A	genome	"EA500333,BD293024, DI035997, HQ416907"
FN431985	A	genome	AX081134
HQ416906	A	genome	
AB000388	B	genome	"AB000386, AF314558, FJ375177"
AB576764	B	genome	
AB040874	B	genome	
AB470486	B	genome	
JQ945269	B	SH	
JQ946041	B	HN	
EU370206	C	genome	
AY669145	C	genome	
JQ945268	C	SH	
JQ999999	C	HN	
KF878076	D	genome	
JQ945275	D	SH	
JQ946039	D	HN	
JQ034452	D	SH	
JQ034464	D	HN	
KF042304	F	genome	
KF170917	F	genome	
FJ556896	F	genome	"EU884413, DQ649478"
KF170918	F	genome	
KF17091	F	genome	
AF280799	G	genome	
JN635498	G	genome	"JX287387, JX287389"
EU597478	G	SH	
JQ946046	G	HN	
JX287385	G	genome	JN012242
EU370207	G	genome	
KF878077	H	genome	
AB600843	H	genome	
AF467767	H	genome	
JX287388	H	genome	
AY681495	H	genome	
JQ945273	H	SH	
JQ946035	H	HN	
KF878078	I	genome	AB600942
AY309060	I	genome	
JQ945274	I	SH	
JQ946037	I	HN	
KF878079	J	genome	
JQ945271	J	SH	
JQ946033	J	HN	
AB105475	J	SH	
JQ946044	J	HN	
KF878080	K	genome	
JX287386	K	genome	
JQ945276	K	SH	
JQ946040	K	HN	
JQ945270	K	SH	
JQ946045	K	HN	
KF878081	L	genome	
AB105483	L	SH	
JQ946036	L	HN	
AB105480	L	SH	
JQ946043	L	HN	
AY508995	N	genome	JF727651
AY685920	N	genome	AY685921
KF878082	Unclassified	genome	
AF142774	Unclassified	SH	
JQ946042	Unclassified	HN	
AB003415	Unclassified	SH	
AB003415	Unclassified	HN	
AY380077	Unclassified	SH	
JQ946038	Unclassified	HN	
