accession	clade_membership	gene
GU980052	A	SH
GU980052	A	HN
AF338106	A	SH
AF338106	A	HN
AB000388	B	SH
AB000388	B	HN
JQ945269	B	SH
JQ946041	B	HN
EU370206	C	SH
EU370206	C	HN
JQ945268	C	SH
JQ999999	C	HN
JQ945275	D	SH
JQ946039	D	HN
JQ034452	D	SH
JQ034464	D	HN
EU780221	F	SH
JQ034463	F	HN
JQ945272	F	SH
JQ946034	F	HN
AF280799	G	SH
AF280799	G	HN
EU597478	G	SH
JQ946046	G	HN
JQ945273	H	SH
JQ946035	H	HN
AB600843	H	SH
AB600843	H	HN
JQ945274	I	SH
JQ946037	I	HN
AY309060	I	SH
AY309060	I	HN
JQ945271	J	SH
JQ946033	J	HN
AB105475	J	SH
JQ946044	J	HN
JQ945276	K	SH
JQ946040	K	HN
JQ945270	K	SH
JQ946045	K	HN
AB105483	L	SH
JQ946036	L	HN
AB105480	L	SH
JQ946043	L	HN
AY508995	N	SH
AY508995	N	HN
AY685920	N	SH
AY685920	N	HN
AF142774	Unclassified	SH
JQ946042	Unclassified	HN
AB003415	Unclassified	SH
AB003415	Unclassified	HN
AY380077	Unclassified	SH
JQ946038	Unclassified	HN
